ts,ecg
1626177559029.48,-4.44204323792973
1626177559032.81,-4.44536083285342
1626177559036.13,-4.44406264353545
1626177559039.46,-4.44564931936852
1626177559042.79,-4.45632332042734
1626177559046.11,-4.4388698862636
1626177559049.44,-4.43742745368808
1626177559052.76,-4.44694750868648
1626177559056.09,-4.45387118504896
1626177559059.42,-4.46115546955532
1626177559062.74,-4.46303063190349
1626177559066.07,-4.4597130369798
1626177559069.4,-4.4507699550116
1626177559072.72,-4.46714156474371
1626177559076.05,-4.44968813057996
1626177559079.38,-4.46216517235818
1626177559082.7,-4.45891969906327
1626177559086.03,-4.44536083285342
1626177559089.36,-4.46944945686453
1626177559092.68,-4.47240644364434
1626177559096.01,-4.44211535955851
1626177559099.33,-4.46223729398695
1626177559102.66,-4.44298081910382
1626177559105.99,-4.44269233258871
1626177559109.31,-4.4418268730434
1626177559112.64,-4.45185177944324
1626177559115.97,-4.44276445421749
1626177559119.29,-4.44651477891383
1626177559122.62,-4.44766872497424
1626177559125.95,-4.45726090160142
1626177559129.27,-4.45935242883592
1626177559132.6,-4.44817357637567
1626177559135.93,-4.44463961656566
1626177559139.25,-4.41369943782084
1626177559142.58,-4.44384627864912
1626177559145.9,-4.44031231883911
1626177559149.23,-4.44060080535421
1626177559152.56,-4.43136923687091
1626177559155.88,-4.4186037085776
1626177559159.21,-4.42422919562211
1626177559162.54,-4.42552738494007
1626177559165.86,-4.41896431672148
1626177559169.19,-4.38174955627317
1626177559172.52,-4.36321429767779
1626177559175.84,-4.31114248170167
1626177559179.17,-4.30356971068021
1626177559182.5,-4.30919519772472
1626177559185.82,-4.29837695340836
1626177559189.15,-4.31049338704269
1626177559192.47,-4.33393291639482
1626177559195.8,-4.33840445737892
1626177559199.13,-4.34583298514283
1626177559202.45,-4.35708395923185
1626177559205.78,-4.3909090031277
1626177559209.11,-4.4030975583908
1626177559212.43,-4.42170493861496
1626177559215.76,-4.43490319668093
1626177559219.09,-4.45978515860858
1626177559222.41,-4.45293360387488
1626177559225.74,-4.44687538705771
1626177559229.06,-4.44947176569364
1626177559232.39,-4.46375184819124
1626177559235.72,-4.48387378261969
1626177559239.04,-4.49541324322382
1626177559242.37,-4.47089188944005
1626177559245.7,-4.47125249758393
1626177559249.02,-4.47089188944005
1626177559252.35,-4.47601252508313
1626177559255.68,-4.47031491640984
1626177559259,-4.48625379636929
1626177559262.33,-4.48372953936214
1626177559265.66,-4.50594300102508
1626177559268.98,-4.50197631144241
1626177559272.31,-4.47832041720395
1626177559275.63,-4.47752707928742
1626177559278.96,-4.48192649864274
1626177559282.29,-4.48610955311174
1626177559285.61,-4.49656718928423
1626177559288.94,-4.4990193246626
1626177559292.27,-4.46930521360698
1626177559295.59,-4.47413736273496
1626177559298.92,-4.49180716178503
1626177559302.25,-4.57806462980087
1626177559305.57,-4.68538161341925
1626177559308.9,-4.7284382257984
1626177559312.23,-4.81188295029199
1626177559315.55,-4.77661547382062
1626177559318.88,-4.70384475038585
1626177559322.2,-4.51575154253859
1626177559325.53,-4.23851600152445
1626177559328.86,-3.97635388092445
1626177559332.18,-3.35646848159653
1626177559335.51,-2.79492947994822
1626177559338.84,-2.6791021441343
1626177559342.16,-2.60301382577584
